target distance, 38khz, 39khz, 40khz, 41khz, 42khz, 43khz, 44khz, 45khz,,,,,,,,,
1.5,1,1,1,1,1,1,1,1,,,,,,,,,
3,1,1,1,1,1,1,1,1,,,,,,,,,
5,1,1,1,1,1,1,0,0,,middle LED,,,,,,,
10,1,1,0,0,0,0,0,0,,,,,,,,,
15,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
target distance, 38khz, 39khz, 40khz, 41khz, 42khz, 43khz, 44khz, 45khz,,,,,,,,,
1.5,1,1,1,1,1,1,1,1,,,,,,,,,
3,1,1,1,1,1,1,1,1,,,,,,,,,
5,1,1,1,1,1,1,0,0,,,,,,,,,
10,1,1,0,0,0,0,0,0,,left led,,,,,,,
15,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
target distance, 38khz, 39khz, 40khz, 41khz, 42khz, 43khz, 44khz, 45khz,,,,,,,,,
1.5,1,1,1,1,1,1,1,1,,right led,,,,,,,
3,1,1,1,1,1,1,1,0,,,,,,,,,
5,1,1,1,1,1,0,0,0,,,,,,,,,
10,1,1,0,0,0,0,0,0,,,,,,,,,
15,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
right servo,,,,,,,,,,,,,,,,,
,,,,,,,,1480 is equilibrium,,,,,,,,,bwards
,1300,1325,1350,1375,1400,1425,1450,1475,1500,1525,1550,1575,1600,1625,1650,1675,1700
RPM,36,36,36,35,32,27,15,1.75,7.5,22,30,34,36,36,36,36,36
cm per sec,12.4344,12.4344,12.4344,12.089,11.0528,9.3258,5.181,0.60445,2.5905,7.5988,10.362,11.7436,12.4344,12.4344,12.4344,12.4344,12.4344
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
left servo,,,,,,,,,,,,,,,,,
,,,,,,,,1480 is equilibrium,,,,,,,,,bwards
,1300,1325,1350,1375,1400,1425,1450,1475,1500,1525,1550,1575,1600,1625,1650,1675,1700
RPM,36,36,36,36,35,32,23.5,8.25,0,14,25,32,35,36,36,36,36
cm per sec,12.4344,12.4344,12.4344,12.4344,12.089,11.0528,8.1169,2.84955,0,4.8356,8.635,11.0528,12.089,12.4344,12.4344,12.4344,12.4344
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,12.4344/c,,,,,,,,,,,,,,,,
